participant,participant_unique_id,birth_date,date,experiment_name,session,loop,trial_id_global,running_index,task_type,trial_type,legality,sentence_complexity,target_sentence,foil_sentence,sentence_frame,foil_sentence_frame,previous_encounters,target_video,foil_video,audio,t_start,t_end,reaction_time,correct_response,response,accuracy
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,12,12,Passive,,legal,1,SBJ.N2 JUMP-INTR,,SBJ-V.INTR,,0,SBJ-N2-JUMP-INTR.mp4,,SBJ-N2-JUMP-INTR.mp3,755.537,761.559,6.0219999999999345,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,13,13,Passive,,legal,1,SBJ.N5 HIDE-INTR,,SBJ-V.INTR,,0,SBJ-N5-HIDE-INTR.mp4,,HIDE-INTR-SBJ-N5.mp3,761.561,767.2,5.63900000000001,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,14,14,Passive,,legal,2,OBJ.N5 SBJ.N3 REVEAL-TR,,OBJ-SBJ-V.TR,,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,767.202,773.063,5.86099999999999,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,15,15,Passive,,legal,1,SBJ.N2 GO-INTR,,SBJ-V.INTR,,1,SBJ-N2-GO-INTR.mp4,,GO-INTR-SBJ-N2.mp3,773.065,779.817,6.751999999999953,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,16,16,Passive,,legal,2,OBJ.N5 SBJ.N2 PUSH-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N2-PUSH-TR.mp4,,SBJ-N2-OBJ-N5-PUSH-TR.mp3,779.819,785.918,6.099000000000046,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,17,17,Passive,,legal,1,SBJ.N5 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N5-REVEAL-INTR.mp4,,SBJ-N5-REVEAL-INTR.mp3,785.92,793.684,7.76400000000001,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,18,18,Passive,,legal,2,OBJ.N5 SBJ.N4 HIDE-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N4-HIDE-TR.mp4,,SBJ-N4-HIDE-TR-OBJ-N5.mp3,793.685,799.245,5.560000000000059,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,19,19,Passive,,legal,1,SBJ.N2 GO-INTR,,SBJ-V.INTR,,2,SBJ-N2-GO-INTR.mp4,,GO-INTR-SBJ-N2.mp3,799.247,805.264,6.017000000000053,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,20,20,Passive,,legal,1,SBJ.N1 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N1-REVEAL-INTR.mp4,,REVEAL-INTR-SBJ-N1.mp3,805.265,814.297,9.032000000000039,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,21,21,Passive,,legal,2,OBJ.N5 SBJ.N1 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,814.298,820.63,6.331999999999994,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,22,22,Passive,,legal,2,OBJ.N5 SBJ.N1 REVEAL-TR,,OBJ-SBJ-V.TR,,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,,REVEAL-TR-SBJ-N1-OBJ-N5.mp3,820.632,826.88,6.248000000000047,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,23,23,Passive,,legal,3,OBJ.N5 SBJ.N2 PUSH-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N1.mp4,,OBJ-N5-SBJ-N2-LOC-N1-PUSH-TR.mp3,826.881,835.054,8.173000000000002,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,24,24,Passive,,legal,2,SBJ.N4 REVEAL-INTR LOC.N3,,SBJ-V.INTR-LOC,,0,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,835.055,842.477,7.4220000000000255,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,25,25,Passive,,legal,3,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,842.479,849.436,6.956999999999994,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,26,26,Passive,,legal,2,SBJ.N4 REVEAL-INTR LOC.N3,,SBJ-V.INTR-LOC,,1,SBJ-N4-REVEAL-INTR-LOC-N3.mp4,,SBJ-N4-REVEAL-INTR-LOC-N3.mp3,849.438,855.646,6.20799999999997,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,27,27,Passive,,legal,3,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N4-REVEAL-TR-LOC-N1.mp4,,OBJ-N5-LOC-N1-REVEAL-TR-SBJ-N4.mp3,855.647,861.435,5.787999999999897,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,28,28,Passive,,legal,2,SBJ.N5 REVEAL-INTR LOC.N3,,SBJ-V.INTR-LOC,,0,SBJ-N5-REVEAL-INTR-LOC-N3.mp4,,SBJ-N5-REVEAL-INTR-LOC-N3.mp3,861.437,868.389,6.951999999999998,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,29,29,Passive,,legal,3,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N3-HIDE-TR-LOC-N4.mp4,,OBJ-N5-SBJ-N3-HIDE-TR-LOC-N4.mp3,868.391,875.198,6.807000000000016,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,30,30,Passive,,legal,3,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N1-REVEAL-TR-LOC-N2.mp4,,SBJ-N1-LOC-N2-REVEAL-TR-OBJ-N5.mp3,875.2,882.697,7.496999999999957,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,31,31,Passive,,legal,3,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N4-PUSH-TR-LOC-N2.mp4,,LOC-N2-OBJ-N5-SBJ-N4-PUSH-TR.mp3,882.698,891.829,9.130999999999972,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,32,32,Passive,,legal,3,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1,,OBJ-SBJ-V.TR-LOC,,0,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N1.mp4,,LOC-N1-OBJ-N5-SBJ-N4-HIDE-TR.mp3,891.831,898.474,6.643000000000029,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,33,33,Passive,,legal,2,Ab SBJ.N2 JUMP-INTR,,SBJ-V.INTR,,0,Ab-SBJ-N2-JUMP-INTR.mp4,,JUMP-INTR-Ab-SBJ-N2.mp3,898.475,904.351,5.875999999999976,,,
